20180218170957315,0,0
20180218170958454,1,1
20180218171000497,1,2
20180218171001545,2,2
20180218171003597,2,3
20180218171004647,2,3
20180218171005705,2,2
20180218171006759,1,2
20180218171007823,1,2
20180218171009886,1,1
20180218171010944,1,1
20180218171012000,1,1
20180218171013081,1,1
20180218171017185,0,0
20180218171019243,1,1
20180218171020289,1,2
20180218171021336,2,2
20180218171023396,2,3
20180218171024445,2,3
20180218171025497,2,2
20180218171026552,1,2
20180218171027622,1,2
20180218171029684,1,1
20180218171030743,1,1
20180218171031815,1,1
20180218171032864,1,1
20180218171035978,0,0
20180218171037034,1,0
20180218171039089,2,0
20180218171040145,3,1
20180218171041207,3,2
20180218171043274,3,3
20180218171044335,3,3
20180218171045406,3,3
20180218171046484,3,3
20180218171047581,3,3
20180218171048634,3,3
20180218171049716,3,3
20180218171050781,3,2
20180218171051877,3,1
20180218171052966,2,0
20180218171054057,2,0
20180218171055144,2,0
20180218171056238,1,0
20180218171436174,0,0
20180218171437353,1,1
20180218171438406,1,2
20180218171439464,2,2
20180218171440546,2,3
20180218171441606,2,3
20180218171444684,2,2
20180218171445732,1,2
20180218171446789,1,2
20180218171447881,1,1
20180218171448992,1,1
20180218171450060,1,1
20180218171451136,1,1
20180218171455252,0,0
20180218171456345,1,1
20180218171457394,1,2
20180218171458457,2,2
20180218171459527,2,3
20180218171500598,2,3
20180218171501673,2,2
20180218171502762,1,2
20180218171503818,1,2
20180218171506905,1,1
20180218171507990,1,1
20180218171509089,1,1
20180218171510171,1,1
20180218171513272,0,0
20180218171514373,1,1
20180218171515433,1,2
20180218171516500,2,2
20180218171517559,2,3
20180218171519641,2,3
20180218171521705,2,2
20180218171522772,1,2
20180218171523828,1,2
20180218171525887,1,1
20180218171527969,1,1
20180218171529044,1,1
20180218171552737,0,0
20180218171553914,1,1
20180218171554986,1,2
20180218171556054,2,2
20180218171557144,2,3
20180218171558206,2,3
20180218171559283,2,2
20180218171600348,1,2
20180218171601430,1,2
20180218171602491,1,1
20180218171603566,1,1
20180218171604642,1,1
20180218171605714,1,1
20180218171608147,0,0
20180218171610256,1,0
20180218171611317,2,0
20180218171613371,3,1
20180218171614439,3,2
20180218171615514,3,3
20180218171616589,3,3
20180218171617661,3,3
20180218171619751,3,3
20180218171621830,3,3
20180218171622913,3,3
20180218171624027,3,3
20180218171625089,3,2
20180218171627182,3,1
20180218171629297,2,0
20180218171630402,2,0
20180218171632452,2,0
20180218171634537,1,0
20180218171638949,0,0
20180218171640027,1,1
20180218171641091,1,2
20180218171642163,2,2
20180218171643227,2,3
20180218171644290,2,3
20180218171645358,2,2
20180218171646433,1,2
20180218171648516,1,2
20180218171650592,1,1
20180218171653671,1,1
20180218171654737,1,1
20180218171655812,1,1
20180218171834914,0,0
20180218171836082,0,1
20180218171838136,0,2
20180218171839195,1,3
20180218171840265,1,3
20180218171841329,0,2
20180218171842399,0,2
20180218171844458,0,2
20180218171845531,0,2
20180218171847590,0,2
20180218171848650,0,2
20180218171849747,0,2
20180218171850845,0,1
20180218171851915,0,1
20180218171853989,0,1
20180218171855103,0,1
20180218171857255,0,0
20180218171858314,1,0
20180218171900373,2,0
20180218171901432,3,1
20180218171902495,3,2
20180218171903561,3,3
20180218171904651,3,3
20180218171905715,3,3
20180218171906798,3,3
20180218171908849,3,3
20180218171909914,3,3
20180218171911034,3,3
20180218171912093,3,2
20180218171913192,3,1
20180218171938733,0,0
20180218171940801,1,0
20180218171941838,2,0
20180218171942886,3,1
20180218171944939,3,2
20180218171946976,3,3
20180218171948010,3,3
20180218171949054,3,3
20180218171950104,3,3
20180218171952147,3,3
20180218171954176,3,3
20180218171955208,3,3
20180218171956256,3,2
20180218171958306,3,1
20180218171959336,2,0
20180218172000367,2,0
20180218172002407,2,0
20180218172003437,1,0
20180218172005503,0,0
20180218172006536,1,0
20180218172007580,2,0
20180218172008613,3,1
20180218172009660,3,2
20180218172010700,3,3
20180218172246567,0,0
20180218172249630,0,1
20180218172250662,0,2
20180218172251705,1,3
20180218172252744,1,3
20180218172253776,0,2
20180218172254814,0,2
20180218172256851,0,2
20180218172257879,0,2
20180218172258909,0,2
20180218172259938,0,2
20180218172302006,0,2
20180218172304044,0,1
20180218172305090,0,1
20180218172306127,0,1
20180218172307170,0,1
20180218172309261,0,0
20180218172310304,1,1
20180218172311342,1,2
20180218172312380,2,2
20180218172313413,2,3
20180218172314449,2,3
20180218172316494,2,2
20180218172317532,1,2
20180218172318566,1,2
20180218172319597,1,1
20180218172320633,1,1
20180218172321669,1,1
20180218172322711,1,1
20180218172326822,0,0
20180218172327854,1,1
20180218172328890,1,2
20180218172329920,2,2
20180218172330955,2,3
20180218172331989,2,3
20180218172333024,2,2
20180218172335073,1,2
20180218172337106,1,2
20180218172338146,1,1
20180218172339173,1,1
20180218172341211,1,1
20180218172342246,1,1
20180218172351976,0,0
20180218172355810,0,1
20180218172359093,0,2
20180218172401366,0,1
20180218172411463,0,0
20180218172413793,1,0
20180218172415925,2,0
20180218172418427,1,0
20180218172431072,0,0
